# Oracle Event Stream
# Format: t<event_index>: <event_type>(id=<obj_id>, size=<bytes>, site=<site_id>, thread=<thread_id>)
# Total events: 2012
# Allocations: 1006
# Frees: 1006

t1063: alloc(id=940060004, size=24, site=122, thread=1283928880)
t1067: free(id=940060004, size=24, site=122, thread=1283928880)
t1068: alloc(id=234698513, size=24, site=122, thread=1283928880)
t1072: free(id=234698513, size=24, site=122, thread=1283928880)
t1073: alloc(id=1121172875, size=24, site=122, thread=1283928880)
t1077: free(id=1121172875, size=24, site=122, thread=1283928880)
t1078: alloc(id=649734728, size=24, site=122, thread=1283928880)
t1082: free(id=649734728, size=24, site=122, thread=1283928880)
t1083: alloc(id=1595953398, size=24, site=122, thread=1283928880)
t1087: free(id=1595953398, size=24, site=122, thread=1283928880)
t1088: alloc(id=998351292, size=24, site=122, thread=1283928880)
t1092: free(id=998351292, size=24, site=122, thread=1283928880)
t1093: alloc(id=1684106402, size=24, site=122, thread=1283928880)
t1097: free(id=1684106402, size=24, site=122, thread=1283928880)
t1098: alloc(id=335471116, size=24, site=122, thread=1283928880)
t1102: free(id=335471116, size=24, site=122, thread=1283928880)
t1103: alloc(id=1308927845, size=24, site=122, thread=1283928880)
t1107: free(id=1308927845, size=24, site=122, thread=1283928880)
t1108: alloc(id=2017354584, size=24, site=122, thread=1283928880)
t1112: free(id=2017354584, size=24, site=122, thread=1283928880)
t1113: alloc(id=391447681, size=24, site=122, thread=1283928880)
t1117: free(id=391447681, size=24, site=122, thread=1283928880)
t1118: alloc(id=1935637221, size=24, site=122, thread=1283928880)
t1122: free(id=1935637221, size=24, site=122, thread=1283928880)
t1123: alloc(id=403424356, size=24, site=122, thread=1283928880)
t1127: free(id=403424356, size=24, site=122, thread=1283928880)
t1128: alloc(id=321142942, size=24, site=122, thread=1283928880)
t1132: free(id=321142942, size=24, site=122, thread=1283928880)
t1133: alloc(id=745160567, size=24, site=122, thread=1283928880)
t1137: free(id=745160567, size=24, site=122, thread=1283928880)
t1138: alloc(id=610984013, size=24, site=122, thread=1283928880)
t1142: free(id=610984013, size=24, site=122, thread=1283928880)
t1143: alloc(id=1644443712, size=24, site=122, thread=1283928880)
t1147: free(id=1644443712, size=24, site=122, thread=1283928880)
t1148: alloc(id=1393931310, size=24, site=122, thread=1283928880)
t1152: free(id=1393931310, size=24, site=122, thread=1283928880)
t1153: alloc(id=788117692, size=24, site=122, thread=1283928880)
t1157: free(id=788117692, size=24, site=122, thread=1283928880)
t1158: alloc(id=1566723494, size=24, site=122, thread=1283928880)
t1162: free(id=1566723494, size=24, site=122, thread=1283928880)
t1163: alloc(id=510113906, size=24, site=122, thread=1283928880)
t1167: free(id=510113906, size=24, site=122, thread=1283928880)
t1168: alloc(id=1622006612, size=24, site=122, thread=1283928880)
t1172: free(id=1622006612, size=24, site=122, thread=1283928880)
t1173: alloc(id=66233253, size=24, site=122, thread=1283928880)
t1177: free(id=66233253, size=24, site=122, thread=1283928880)
t1178: alloc(id=1286783232, size=24, site=122, thread=1283928880)
t1182: free(id=1286783232, size=24, site=122, thread=1283928880)
t1183: alloc(id=1874154700, size=24, site=122, thread=1283928880)
t1187: free(id=1874154700, size=24, site=122, thread=1283928880)
t1188: alloc(id=1632392469, size=24, site=122, thread=1283928880)
